,vessel.mmsi,vessel.name,vessel.flag
10903,367395640,ALEUTIAN  FALCON,USA
10905,312273000,HAI FENG 678,BLZ
11040,311123000,SUMMER BAY,BHS
11043,273359920,TAVRIA,RUS
11238,636017561,HE SHUN,LBR
11532,273211120,ARTEMIDA,RUS
11644,431201000,TAISEI MARU NO15,JPN
11867,354811000,TAGANROGSKIY ZALIV,PAN
11868,416001900,YUAN TAI NO.8O6,TWN
11970,372538000,HUAN YU 1@O.12,PAN
11971,412421073,PING TAI RONG LENG1,CHN
12416,366961020,KELLY MAE,USA
12417,273351170,ODIN,RUS
12477,529874000,MING FENG,KIR
12489,367490930,NORTHERN SPIRIT,USA
12494,366744930,VIXEN,USA
12495,257962000,SAMSKIP ARCTIC,NOR
12496,412440611,FUYUANYULENG009,CHN
12499,412331211,LURONGYUANYUYUN777,CHN
12508,368633000,ROGUE,USA
12550,341346000,FRIO FORWIN,KNA
12552,273356760,HATSUKARI,RUS
12779,367545050,AKUTAN,USA
12780,273357670,FRIO SEVASTOPOLIS,RUS
13129,352440000,YUN RUN 7,PAN
13130,273433460,BUZANSKIY,RUS
13183,273195200,KRYMSKIY,RUS
13188,273421470,PROFESSOR MEGRABOV,RUS
13195,412549032,NINGTAILENG5,CHN
13378,636018009,REINA,LBR
13380,367348340,HARMONY I,USA
13390,354461000,XING YUN,PAN
13394,636017359,SHOTA MARU,LBR
13552,273257000,SMOLNINSKIY,RUS
13668,356889000,ANGARA,PAN
13701,576397000,KAIHO MARU,VUT
13703,306125000,ORANGE STREAM,BES
13727,529730000,MV KRASKINO,KIR
13728,412421088,JIN ZHOU,CHN
14059,273339110,ZALIV RADUGA,RUS
14168,431012000,NITTOMARU NO.36,JPN
14194,412421049,NINGTAILENG7,CHN
14349,273216330,AMFITRITA,RUS
14458,273391560,MARIAM,RUS
14471,366764080,CACHALOT,USA
14473,273349530,PETR RIKORD,RUS
14743,440097000,SEIN SKY,KOR
14779,273378130,ANDROMEDA,RUS
15017,416696000,FU JYI,TWN
15085,529105000,TAI FU 3,KIR
15103,273851400,SENITE,RUS
15325,356399000,HE TAI,PAN
15625,725003638,INTER FIORD,CHL
15626,273349420,PARNAS,RUS
15638,412331177,LUWENYUANYUYUN 888,CHN
15644,636016998,GREEN CONCORDIA,LBR
15647,416602000,SHUN TIAN FA 168,TWN
15666,273381350,KAMCHATSKIY PROLIV,RUS
15982,725000320,DONA CLAUDINA,CHL
15983,356065000,BAO WIN,PAN
16161,413205180,JULONG2,CHN
16177,529837000,WEI LI,KIR
16216,273295160,OSTROVNOY-11,RUS
16235,325965000,NEVSKIY,DMA
16236,725002634,RONIA PIONEER,CHL
16237,725000983,RIO DULCE II,CHL
16238,514298000,MING HANG 8,KHM
16291,441418000,SEIBU,KOR
16399,273895510,DRUZHBA,RUS
16476,412549037,LURONGYUANYUYUN888,CHN
16510,273455520,VLADIVOSTOK 2000,RUS
17290,273812060,TRIADA,RUS
17468,367561070,STEELHEAD,USA
17483,273397590,OSTROV SHIKOTAN,RUS
17563,325700000,HAIJILI,DMA
17603,371565000,TAI XING,PAN
17612,548793000,SAN ANDRES 179,PHL
17614,441822000,M/V KATAH,KOR
17637,412421074,PINGTAIRONGLENG2,CHN
18057,271073348,NESLISAH 1,TUR
18077,356203000,TAIHO MARU,PAN
18264,273218850,LARI,RUS
18289,412694950,FU YUAN YU F86,CHN
18293,514060000,STORK,KHM
18295,273355540,VOSTOK REEFER,RUS
18445,355827000,HAI FENG 728,PAN
